Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
3205;5000158307;"Musculoskeletal Care";journal;"14782189";"Wiley-Blackwell";No;No;0,600;Q1;38;147;316;5354;617;315;1,85;36,42;53,68;0;22;United States;Northern America;"Wiley-Blackwell";"2003, 2006-2025";"Chiropractics (Q1); Nursing (miscellaneous) (Q2); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Rehabilitation (Q2); Rheumatology (Q3)";"Health Professions; Medicine; Nursing"
3206;21101056928;"AWWA Water Science";journal;"25778161";"John Wiley and Sons Inc";No;No;0,600;Q2;18;32;139;1674;297;138;1,72;52,31;36,29;0;26;United States;Northern America;"John Wiley and Sons Inc";"2019-2025";"Environmental Engineering (Q2); Ocean Engineering (Q2); Oceanography (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2); Filtration and Separation (Q3)";"Chemical Engineering; Earth and Planetary Sciences; Engineering; Environmental Science"
3207;19819;"Clinics in Sports Medicine";journal;"1556228X, 02785919";"W.B. Saunders";No;No;0,600;Q2;96;77;194;4139;351;158;1,50;53,75;29,83;0;5;United States;Northern America;"W.B. Saunders";"1982-2025";"Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Sports Science (Q3)";"Health Professions; Medicine"
3208;25887;"Discrete and Computational Geometry";journal;"14320444, 01795376";"Springer New York";No;No;0,600;Q2;75;169;336;4538;298;334;0,89;26,85;18,28;1;0;United States;Northern America;"Springer New York";"1986-2025";"Computational Theory and Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2); Geometry and Topology (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
3209;21101090590;"Energy Storage";journal;"25784862";"John Wiley and Sons Inc";No;No;0,600;Q2;21;279;184;14827;868;183;4,71;53,14;22,55;0;183;United States;Northern America;"John Wiley and Sons Inc";"2019-2025";"Energy Engineering and Power Technology (Q2); Renewable Energy, Sustainability and the Environment (Q3)";"Energy"
3210;21100239834;"Journal of Aerospace Information Systems";journal;"23273097";"American Institute of Aeronautics and Astronautics Inc. (AIAA)";No;No;0,600;Q2;46;75;195;3426;500;184;2,37;45,68;30,10;0;12;United States;Northern America;"American Institute of Aeronautics and Astronautics Inc. (AIAA)";"2013-2025";"Aerospace Engineering (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering"
3211;19876;"Journal of Sport Rehabilitation";journal;"15433072, 10566716";"Human Kinetics Publishers Inc.";No;No;0,600;Q2;66;91;453;2834;835;451;1,71;31,14;35,21;0;2;United States;Northern America;"Human Kinetics Publishers Inc.";"1992-2025";"Biophysics (Q2); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Rehabilitation (Q2); Sports Science (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
3212;21100206006;"Marine and Coastal Fisheries";journal;"19425120";"Oxford University Press";Yes;No;0,600;Q2;41;42;120;2594;241;115;1,68;61,76;30,34;1;22;United States;Northern America;"Oxford University Press";"2009-2024";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
3213;19600161827;"Qualitative Theory of Dynamical Systems";journal;"16623592, 15755460";"Springer Science + Business Media";Yes;No;0,600;Q2;31;299;411;12200;838;411;2,25;40,80;31,29;0;43;United States;Northern America;"Springer Science + Business Media";"1999-2005, 2008-2025";"Applied Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2)";"Mathematics"
3214;21101091651;"Journal of Pediatric Hematology/Oncology Nursing";journal;"27527549, 27527530";"SAGE Publications Inc.";No;No;0,599;Q1;60;38;117;1329;232;115;1,68;34,97;87,50;0;31;United States;Northern America;"SAGE Publications Inc.";"2022-2024";"Advanced and Specialized Nursing (Q1); Medicine (miscellaneous) (Q2); Pediatrics (Q2); Oncology (nursing) (Q3)";"Medicine; Nursing"
3215;4700152798;"ACM Journal on Emerging Technologies in Computing Systems";journal;"15504832, 15504840";"Association for Computing Machinery (ACM)";No;No;0,599;Q2;50;12;172;600;487;159;2,80;50,00;31,11;0;2;United States;Northern America;"Association for Computing Machinery (ACM)";"2005-2024";"Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Nanoscience and Nanotechnology (Q2); Software (Q2)";"Computer Science; Engineering; Materials Science"
3216;15541;"Biotechnology Progress";journal;"87567938, 15206033";"Wiley-Blackwell";No;No;0,599;Q2;148;122;300;5989;983;298;3,20;49,09;39,08;0;23;United States;Northern America;"Wiley-Blackwell";"1985-2025";"Biotechnology (Q2)";"Biochemistry, Genetics and Molecular Biology"
3217;21100835738;"Industry and Higher Education";journal;"20436858, 09504222";"SAGE Publications Inc.";No;No;0,599;Q2;37;85;209;4778;792;199;3,80;56,21;47,66;0;63;United States;Northern America;"SAGE Publications Inc.";"1996-2025";"Business and International Management (Q2); Education (Q2)";"Business, Management and Accounting; Social Sciences"
3218;28355;"Oceanography";journal;"10428275";"Oceanography Society";Yes;No;0,599;Q2;111;88;282;2528;426;148;1,52;28,73;50,76;1;45;United States;Northern America;"Oceanography Society";"1992, 1996-2025";"Oceanography (Q2)";"Earth and Planetary Sciences"
3219;21101042490;"World Journal of Transplantation";journal;"22203230";"Baishideng Publishing Group";No;No;0,599;Q2;17;66;118;3350;307;118;1,94;50,76;39,02;0;33;United States;Northern America;"Baishideng Publishing Group";"2019-2025";"Transplantation (Q2)";"Medicine"
3220;29979;"Journal of Psychosocial Oncology";journal;"07347332, 15407586";"Routledge";No;No;0,599;Q3;54;79;174;3524;338;168;1,76;44,61;69,18;0;65;United States;Northern America;"Routledge";"1983-2025";"Applied Psychology (Q3); Oncology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology"
3221;3900148224;"Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics";journal;"1744117X, 18780407";"Elsevier Inc.";No;No;0,598;Q1;52;175;298;11781;820;293;2,58;67,32;42,41;0;60;United States;Northern America;"Elsevier Inc.";"2006-2025";"Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q3); Genetics (Q3); Molecular Biology (Q3); Physiology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
3222;19700187614;"Journal of Latinos and Education";journal;"1532771X, 15348431";"Routledge";No;No;0,598;Q1;30;184;221;9459;396;208;1,61;51,41;64,68;1;69;United States;Northern America;"Routledge";"2010-2025";"Cultural Studies (Q1); Education (Q2)";"Social Sciences"
3223;20483;"Annals of Plastic Surgery";journal;"01487043, 15363708";"Lippincott Williams and Wilkins";No;No;0,598;Q2;112;432;1241;12277;1883;1094;1,45;28,42;38,36;0;123;United States;Northern America;"Lippincott Williams and Wilkins";"1978-2025";"Surgery (Q2)";"Medicine"
3224;130073;"Journal of Consumer Policy";journal;"01687034, 15730700";"Springer New York";No;No;0,598;Q2;63;25;70;2032;186;70;2,77;81,28;48,72;0;10;United States;Northern America;"Springer New York";"1977-1981, 1983-2025";"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3225;29196;"Journal of Cross-Cultural Gerontology";journal;"01693816, 15730719";"Springer New York";No;No;0,598;Q2;53;30;66;1323;121;66;1,19;44,10;61,25;0;8;United States;Northern America;"Springer New York";"1986-2025";"Health (social science) (Q2); Geriatrics and Gerontology (Q3)";"Medicine; Social Sciences"
3226;21100253295;"Proceedings of the Workshop on Algorithm Engineering and Experiments";conference and proceedings;"21640300";"Society for Industrial and Applied Mathematics Publications";No;No;0,598;-;25;19;54;649;82;50;1,16;34,16;21,05;0;1;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2012-2025";"Applied Mathematics; Engineering (miscellaneous)";"Engineering; Mathematics"
3227;12100155627;"Trends in Organized Crime";journal;"10844791, 19364830";"Springer US";No;No;0,597;Q1;36;52;108;3085;323;107;2,53;59,33;30,39;15;48;United States;Northern America;"Springer US";"1995-2002, 2004-2025";"Law (Q1)";"Social Sciences"
3228;17423;"Geneva Papers on Risk and Insurance: Issues and Practice";journal;"10185895, 14680440";"Springer Nature";No;No;0,597;Q2;45;41;107;1785;355;95;4,13;43,54;37,50;3;21;United States;Northern America;"Springer Nature";"1999-2025";"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3229;22576;"Journal of Mammalian Evolution";journal;"10647554, 15737055";"Springer";No;No;0,597;Q2;56;44;185;3879;326;184;1,95;88,16;36,36;0;2;United States;Northern America;"Springer";"1993-1994, 1996-2025";"Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
3230;14487;"Journal of Ocular Pharmacology and Therapeutics";journal;"15577732, 10807683";"Mary Ann Liebert Inc.";No;No;0,597;Q2;76;91;246;3840;482;225;2,25;42,20;41,65;0;4;United States;Northern America;"Mary Ann Liebert Inc.";"1985-2025";"Ophthalmology (Q2); Pharmacology (Q2); Pharmacology (medical) (Q2)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
3231;21100199768;"Practical Assessment, Research and Evaluation";journal;"15317714";"University of Maryland";Yes;No;0,597;Q2;65;15;57;770;129;57;1,28;51,33;34,88;0;1;United States;Northern America;"University of Maryland";"1989, 1991, 1993, 1995, 1997, 1999, 2001, 2003-2025";"Education (Q2)";"Social Sciences"
3232;24169;"Journal of Chemical Education";journal;"19381328, 00219584";"American Chemical Society";No;No;0,596;Q2;109;663;1693;28175;5281;1681;3,14;42,50;46,95;0;185;United States;Northern America;"American Chemical Society";"1924-2025";"Chemistry (miscellaneous) (Q2); Education (Q2)";"Chemistry; Social Sciences"
3233;29825;"Rejuvenation Research";journal;"15491684";"Mary Ann Liebert Inc.";No;No;0,596;Q3;74;36;122;1612;260;106;2,27;44,78;42,96;0;9;United States;Northern America;"Mary Ann Liebert Inc.";"2000-2001, 2004-2025";"Geriatrics and Gerontology (Q3); Aging (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3234;6700153281;"Asian Journal of Mathematics";journal;"19450036, 10936106";"International Press, Inc.";No;No;0,595;Q2;26;16;103;598;57;102;0,54;37,38;16,67;0;0;United States;Northern America;"International Press, Inc.";"2005-2024";"Applied Mathematics (Q2); Mathematics (miscellaneous) (Q2)";"Mathematics"
3235;28752;"Brachytherapy";journal;"18731449, 15384721";"Elsevier Inc.";No;No;0,595;Q2;60;84;375;2661;593;357;1,50;31,68;37,29;0;66;United States;Northern America;"Elsevier Inc.";"2002-2025";"Radiology, Nuclear Medicine and Imaging (Q2); Oncology (Q3)";"Medicine"
3236;11800154585;"International Journal of Optomechatronics";journal;"15599620, 15599612";"Taylor and Francis Ltd.";Yes;No;0,595;Q2;27;17;27;1241;98;27;2,25;73,00;15,15;0;4;United States;Northern America;"Taylor and Francis Ltd.";"2007-2025";"Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Mechanical Engineering (Q2)";"Engineering; Physics and Astronomy"
3237;16525;"Journal of Portfolio Management";journal;"00954918";"Portfolio Management Research";No;No;0,595;Q2;64;110;395;3366;474;377;0,82;30,60;14,15;0;13;United States;Northern America;"Portfolio Management Research";"1995-2025";"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3238;145138;"Sexuality and Culture";journal;"10955143";"Springer New York";No;No;0,594;Q1;44;160;342;8894;800;334;2,23;55,59;63,72;1;74;United States;Northern America;"Springer New York";"2005-2025";"Cultural Studies (Q1); Gender Studies (Q2)";"Social Sciences"
3239;21101189039;"Artificial Intelligence Surgery";journal;"27710408";"OAE Publishing Inc.";No;No;0,594;Q2;4;35;24;1584;48;16;2,00;45,26;24,24;0;8;United States;Northern America;"OAE Publishing Inc.";"2023-2024";"Artificial Intelligence (Q2); Biomedical Engineering (Q2); Surgery (Q2)";"Computer Science; Engineering; Medicine"
3240;21101152874;"ES Energy and Environment";journal;"25780646, 25780654";"Engineered Science Publisher";No;No;0,594;Q2;32;43;116;3062;635;113;6,58;71,21;35,61;0;24;United States;Northern America;"Engineered Science Publisher";"2019-2024";"Environmental Engineering (Q2); Materials Science (miscellaneous) (Q2); Renewable Energy, Sustainability and the Environment (Q3)";"Energy; Environmental Science; Materials Science"
3241;21101029746;"Foundations and Trends in Electric Energy Systems";journal;"23326557, 23326565";"Now Publishers Inc";No;No;0,594;Q2;5;3;7;146;14;7;1,50;48,67;50,00;0;2;United States;Northern America;"Now Publishers Inc";"2017-2018, 2020-2024";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2)";"Energy; Engineering"
3242;14116;"Education and Urban Society";journal;"00131245, 15523535";"SAGE Publications Inc.";No;No;0,593;Q1;53;48;144;2772;286;143;1,81;57,75;66,13;3;29;United States;Northern America;"SAGE Publications Inc.";"1968-2025";"Urban Studies (Q1); Education (Q2)";"Social Sciences"
3243;26299;"Harvard International Law Journal";journal;"00178063";"Harvard University";No;No;0,593;Q1;53;2;23;706;45;22;1,96;353,00;50,00;0;1;United States;Northern America;"Harvard University";"1979, 1992, 1996-2019, 2022-2023";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
3244;25592;"Journal of Visual Communication and Image Representation";journal;"10473203, 10959076";"Academic Press Inc.";No;No;0,593;Q1;104;286;667;14503;2676;667;4,10;50,71;36,01;0;10;United States;Northern America;"Academic Press Inc.";"1990-2025";"Media Technology (Q1); Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2)";"Computer Science; Engineering"
3245;21101077298;"ACS Food Science and Technology";journal;"26921944";"American Chemical Society";No;No;0,593;Q2;24;298;646;16501;2160;638;3,03;55,37;46,16;0;49;United States;Northern America;"American Chemical Society";"2021-2025";"Analytical Chemistry (Q2); Chemistry (miscellaneous) (Q2); Food Science (Q2); Organic Chemistry (Q2)";"Agricultural and Biological Sciences; Chemistry"
3246;16949;"Physiotherapy Research International";journal;"14712865, 13582267";"Wiley-Blackwell";No;No;0,593;Q2;61;105;146;4290;291;144;1,90;40,86;49,07;1;29;United States;Northern America;"Wiley-Blackwell";"1996-2025";"Physical Therapy, Sports Therapy and Rehabilitation (Q2)";"Health Professions"
3247;16734;"Journal of Nervous and Mental Disease";journal;"00223018, 1539736X";"Lippincott Williams and Wilkins Ltd.";No;No;0,593;Q3;142;95;445;4526;707;424;1,42;47,64;50,12;0;24;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1874-2025";"Psychiatry and Mental Health (Q3)";"Medicine"
3248;21100326898;"Acta Crystallographica Section A: Foundations and Advances";journal;"20532733";"John Wiley &amp; Sons Inc.";No;No;0,592;Q2;92;48;161;1424;229;160;1,35;29,67;13,75;0;0;United States;Northern America;"John Wiley &amp; Sons Inc.";"1998, 2014-2025";"Condensed Matter Physics (Q2); Inorganic Chemistry (Q2); Materials Science (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q2); Biochemistry (Q3); Structural Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Physics and Astronomy"
3249;19700190344;"Early Years";journal;"14724421, 09575146";"Routledge";No;No;0,592;Q2;41;114;159;5194;313;155;1,54;45,56;76,95;1;29;United States;Northern America;"Routledge";"1980-2025";"Education (Q2); Developmental and Educational Psychology (Q3)";"Psychology; Social Sciences"
3250;17276;"Journal of Microelectromechanical Systems";journal;"10577157, 19410158";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,592;Q2;159;90;292;3248;980;292;3,17;36,09;19,29;0;10;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-2025";"Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2)";"Engineering"
3251;11000153762;"Journal of Immunotoxicology";journal;"1547691X, 15476901";"Informa Healthcare";Yes;No;0,592;Q3;51;23;42;1658;119;42;3,08;72,09;48,55;0;13;United States;Northern America;"Informa Healthcare";"2004-2025";"Immunology (Q3); Toxicology (Q3)";"Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics"
3252;21100198411;"Proceedings of the International Symposium on Wireless Communication Systems";conference and proceedings;"21540217, 21540225";"V D E Verlag GmbH";No;No;0,592;-;36;129;171;2344;315;169;2,21;18,17;17,15;0;10;United States;Northern America;"V D E Verlag GmbH";"1995, 2011-2013, 2015-2019, 2021-2022, 2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology";"Computer Science; Engineering"
3253;21100228106;"AIDS Research and Treatment";journal;"20901240, 20901259";"John Wiley and Sons Ltd";Yes;No;0,591;Q2;35;3;26;81;51;26;1,78;27,00;35,00;0;3;United States;Northern America;"John Wiley and Sons Ltd";"2010-2024";"Dermatology (Q2); Infectious Diseases (Q2); Public Health, Environmental and Occupational Health (Q2); Immunology and Allergy (Q3)";"Medicine"
3254;21100900597;"Journal of Urban Ecology";journal;"20585543";"Oxford University Press";Yes;No;0,590;Q1;22;22;94;1908;206;91;2,06;86,73;49,44;1;19;United States;Northern America;"Oxford University Press";"2015-2025";"Urban Studies (Q1); Ecology (Q2)";"Environmental Science; Social Sciences"
